"eov","period","cell","n","sp","es"
"fish",1970,"835f5dfffffffff",81,28,24.9156947153839
"fish",1970,"834c2cfffffffff",27,16,NA
"fish",1970,"836735fffffffff",19,11,NA
"fish",1970,"834564fffffffff",31,24,NA
"fish",1970,"834569fffffffff",23,17,NA
"fish",1970,"83448afffffffff",1,1,NA
"fish",1970,"834ca8fffffffff",2,1,NA
"fish",1970,"835e4bfffffffff",28,13,NA
"fish",1970,"836705fffffffff",4,2,NA
"fish",1970,"83451dfffffffff",2,2,NA
"fish",1970,"834d72fffffffff",4,4,NA
"fish",1970,"834c04fffffffff",18,3,NA
"fish",1970,"836610fffffffff",1,1,NA
"fish",1970,"8344a9fffffffff",2,2,NA
"fish",1970,"834475fffffffff",12,12,NA
"fish",1970,"834c23fffffffff",12,3,NA
"fish",1970,"835f49fffffffff",37,2,NA
