"cell","spue","effort","target"
"85440ca3fffffff",0,2,0
"854411cffffffff",0,1,0
"8567413bfffffff",0,8,0
"856741bbfffffff",0,2,0
"856743c7fffffff",0,2,0
"85674607fffffff",0,1,0
"8567695bfffffff",0,1,0
"85676b4bfffffff",0,1,0
"85676baffffffff",0,1,0
"85676d63fffffff",0,1,0
"85677347fffffff",0,1,0
"856c0553fffffff",0,1,0
"856c22a7fffffff",0,1,0
"856c2523fffffff",0,1,0
"856d0303fffffff",0,1,0
"856d0b8bfffffff",0,1,0
"856d0bb3fffffff",0,1,0
"856d1a97fffffff",0,1,0
"856d4167fffffff",0,1,0
"856d4187fffffff",0,1,0
"856d4343fffffff",0,1,0
"856d4463fffffff",0,1,0
"856d499bfffffff",0,1,0
"856d4e83fffffff",0,1,0
"856d5667fffffff",0,2,0
"856d5ea3fffffff",0,1,0
"856d73c7fffffff",0,1,0
"85448827fffffff",0,1,0
"854488d7fffffff",0,2,0
"854489a3fffffff",0,2,0
"85440247fffffff",0,2,0
"85440273fffffff",0,1,0
"854402c7fffffff",0,2,0
"854cea73fffffff",0,1,0
"854cea8ffffffff",0,1,0
"854cee1bfffffff",0,1,0
"854cf223fffffff",0,1,0
"855e44dbfffffff",0,1,0
"855e5d3bfffffff",0,1,0
"855e6b47fffffff",0,1,0
"855e7133fffffff",0,1,0
"855e71a7fffffff",0,3,0
"855e71b3fffffff",0,5,0
"8544f293fffffff",0,2,0
"8544181bfffffff",0,1,0
"85441cb3fffffff",0,1,0
"85441d2ffffffff",0,1,0
"85441d57fffffff",0,1,0
"8544a12bfffffff",0,1,0
"85489643fffffff",0,10,0
"8548968ffffffff",0,31,0
"85451967fffffff",0,1,0
"85451ba7fffffff",0,1,0
"85454a0bfffffff",0,1,0
"8545586ffffffff",0,3,0
"854558cffffffff",0.111111111111111,9,1
"85455a63fffffff",0,2,0
"85455a6ffffffff",0,2,0
"85455b63fffffff",0,2,0
"8545ae2ffffffff",0,2,0
"85440917fffffff",0,3,0
"85440963fffffff",0,64,0
"85440973fffffff",0,10,0
"85440ba7fffffff",0,2,0
"85440c33fffffff",0,2,0
"85440d37fffffff",0,28,0
"85440da3fffffff",0.0454545454545455,22,1
"85440dbbfffffff",0,2,0
"85440e17fffffff",0,2,0
"85440eabfffffff",0,3,0
"85441467fffffff",0,13,0
"85445647fffffff",0,25,0
"85446323fffffff",0,26,0
"8544644bfffffff",0,11,0
"8544664bfffffff",0,1,0
"85446657fffffff",0,7,0
"85447003fffffff",0,112,0
"85447203fffffff",0,5,0
"8544720bfffffff",0,5,0
"8544720ffffffff",0,78,0
"8544722bfffffff",0,26,0
"85447233fffffff",0,254,0
"85447283fffffff",0,16,0
"85447293fffffff",0,6,0
"854472b3fffffff",0,112,0
"854472c3fffffff",0,5,0
"85447427fffffff",0,15,0
"85447477fffffff",0,6,0
"8566b0a3fffffff",0.35,40,14
"8566b6d3fffffff",0,2,0
"856c040ffffffff",0,2,0
"856c06a3fffffff",0,4,0
"856c238bfffffff",0,1,0
"856c3543fffffff",0,1,0
"856c3597fffffff",0,2,0
"856c35c7fffffff",0,3,0
"856d0323fffffff",0,1,0
"856d0373fffffff",0,1,0
"856d06b3fffffff",0,14,0
"856d0977fffffff",0,2,0
"856d0a83fffffff",0,3,0
"856d0ab7fffffff",0,7,0
"856d0ad7fffffff",0,2,0
"856d0c07fffffff",0,4,0
"856d0d77fffffff",0,2,0
"856d0d97fffffff",0,5,0
"856d1563fffffff",0,4,0
"856d15c3fffffff",0.857142857142857,301,258
"856d1a93fffffff",0,3,0
"856d1c6bfffffff",0,3,0
"856d1d77fffffff",0,2,0
"856d529bfffffff",0,6,0
"856d5347fffffff",0,2,0
"856d544bfffffff",0,2,0
"856d556ffffffff",0,4,0
"856d5663fffffff",0,2,0
"856d56abfffffff",0,4,0
"856d76bbfffffff",0,1,0
"856dad67fffffff",0,3,0
"854483cbfffffff",0,2,0
"854484bbfffffff",0,10,0
"854484d7fffffff",0,1,0
"85440043fffffff",0,1,0
"8544010ffffffff",0,4,0
"85440177fffffff",0,2,0
"85440373fffffff",0.04,25,1
